name,resolution,cpu,ram,graphic,ssd,disk,battery,weight,keyboard_light,id,link,category,cpu_name,cpu_type
"Laptop MSI Thin GF75 9RCX-430VN (17"" FHD/i7-9750H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1050Ti,256GB,,3 cell,2.2,1,191007068,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf75-9rcx430vn-i79750h-den-s191007068.html,laptop-gaming,Intel Core i7 ,9750H
"Laptop Acer Nitro 5 AN515-54-58TJ (NH.Q5ASV.015) (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1050/Win10/2.3 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.3,0,191007073,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155458tj-nhq5asv015-i59300h-den-s191007073.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop Acer Nitro 7 AN715-51-71F8 (NH.Q5HSV.004) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2.3,0,191007074,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-7-an7155171f8-nhq5hsv004-i79750h-den-s191007074.html,laptop-gaming,Intel Core i7 ,9750H
"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.4,1,191007075,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-g-g531gtal007t-i59300h-den-s191007075.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop MSI GP65 Leopard 9SD-224VN (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,,6 cell,2.3,0,191100021,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-leopard-gp65-9sd224vn-i79750h-den-s191100021.html,laptop-gaming,Intel Core i7,9750H
"Laptop MSI Thin GF75 9RCX-432VN (17"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050Ti,256GB,,3 cell,2.2,0,191100022,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf75-9rcx-432vn-i5-9300h-en-s191100022.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop ASUS ROG Strix Scar III G531GV-VAZ160T (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.6 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,4 cell,2.6,1,190800596,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-scar-iii-g531gvvaz160t-i79750h-s190800596.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop ASUS ROG Zephyrus M GU502GU-AZ090T (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2,1,190800597,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-zephyrus-m-gu502guaz090t-i79750h-den-s190800597.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop Apple MacBook Pro 2019 MV932 (15"" 2880x1800/Core i9/16GB/512GB SSD/Radeon Pro 560X/macOS/1.8 kg)",2880 x 1800,Intel Core i9,16GB,AMD Radeon Pro 560X,512GB,,,1.8,1,190900029,https://phongvu.vn/may-tinh-xach-tay-laptop-macbook-pro-2019-154-mv932-bac-s190900029.html,do-hoa-ky-thuat,Intel Core i9,
"Laptop HP Pavilion Gaming 15-dk0003TX (7HR34PA) (15"" FHD/i7-9750H/16GB/512GB SSD/1TB HDD/GTX 1660Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,1TB,3 cell,2.2,0,190900035,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0003tx-7hr34pa-i79750h-den-s190900035.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0233TX (8DS86PA) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.2,0,190900036,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0233tx-8ds86pa-i79750h-den-s190900036.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0232TX (8DS85PA) (15"" FHD/i7-9750H/8GB/1TB HDD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,,1TB,3 cell,2.2,0,190900037,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0232tx-8ds85pa-i79750h-den-s190900037.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop Lenovo Legion Y540-17IRH (81T3001HVN) (17"" FHD/i7-9750H/8GB/128GB SSD/1TB HDD/GTX 1650/FreeDOS/2.9 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,128GB,1TB,3 cell,2.9,0,190900293,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y54017irhpg081t3001hvn-i79750h-den-s190900293.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP ZBook 15 G6 (6CJ09AV) (15"" FHD/i7-9850H/16GB/256GB SSD/Quadro T2000/Free DOS/2.6 kg)",1920 x 1080,Intel Core i7-9850H,16GB,NVIDIA Quadro T2000,256GB,,4 cell,2.6,0,190904120,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-zbook-15-g66cj09av-i79850h-bac-s190904120.html,do-hoa-ky-thuat,Intel Core i7,9850H
"Laptop Acer Nitro 5 AN515-52-53PC (NH.Q3MSV.00B) (15"" FHD/i5-8300H/8GB/512GB SSD/GTX 1050/Win10/2.5 kg)",1920 x 1080,Intel Core i5-8300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.5,0,190904130,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155253pc-nhq3msv00b-den-s190904130.html,do-hoa-ky-thuat,Intel Core i5,8300H
"Laptop MSI GL65 9SEK-047VN (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.3kg)",1920 x 1080,Intel Core i7 9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,6 cell,2.3,1,191000800,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gl65-9sek047vn-i79750h-den-s191000800.html,do-hoa-ky-thuat,Intel Core i7 ,9750H
"Laptop Dell G3 15 3590-N5I5518W (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.3kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.3,0,191001275,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-g3-15-3590-3590n5i5518w-i59300h-den-s191001275.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop Dell G3 15 3590-N5I5517W (15"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,256GB,,3 cell,2.3,0,191001276,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-g3-15-3590-3590n5i5517w-i59300h-den-s191001276.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop Lenovo Legion Y7000-81V4000AVN (15"" FHD/i5-9300H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,256GB,1TB,3 cell,2.3,0,191006820,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y700081v4000avn-i59300h-den-s191006820.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop Lenovo Legion Y7000-15IRH (81V4000BVN) (15"" FHD/i7-9750H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1050,256GB,1TB,3 cell,2.3,0,191006821,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y700081v4000bvn-i79750h-den-s191006821.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop MSI GS65 Stealth 9SD-1409VN (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1660Ti/Win10/1.9 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,1.9,1,191007067,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-stealth-gs65-9sd1409vn-i59300h-den-s191007067.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop MSI Thin GF75 9RCX-430VN (17"" FHD/i7-9750H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1050Ti,256GB,,3 cell,2.2,1,191007068,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf75-9rcx430vn-i79750h-den-s191007068.html,do-hoa-ky-thuat,Intel Core i7 ,9750H
"Laptop Acer Nitro 5 AN515-54-58TJ (NH.Q5ASV.015) (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1050/Win10/2.3 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.3,0,191007073,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155458tj-nhq5asv015-i59300h-den-s191007073.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop Acer Nitro 7 AN715-51-71F8 (NH.Q5HSV.004) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2.3,0,191007074,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-7-an7155171f8-nhq5hsv004-i79750h-den-s191007074.html,do-hoa-ky-thuat,Intel Core i7 ,9750H
"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.4,1,191007075,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-g-g531gtal007t-i59300h-den-s191007075.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
"Laptop ASUS ZenBook Duo UX481FL-BM048T (14"" FHD/i5-10210U/8GB/512GB SSD/MX250/Win10/1.6kg)",1920 x 1080,Intel Core i5-10210U,8GB,NVIDIA GeForce MX250,512GB,,4 cell,1.6,0,191007143,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-zenbook-ux481flbm048t-i510210u-xanh-s191007143.html,do-hoa-ky-thuat,Intel Core i5,10210U
"Laptop ASUS VivoBook 14 A412FA-EK224T (14"" FHD/i5-8265U/8GB/512GB SSD/UHD 620/Win10/1.4 kg)",1920 x 1080,Intel Core i5-8265U,8GB,,512GB,,2 cell,1.4,0,19060251,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a412fa-ek224t-i5-8265u-bac-s19060251.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop ASUS VivoBook 14 A412FA-EK377T (14"" FHD/i3-8145U/4GB /256GB SSD/UHD 620/Win10/1.5 kg)",1920 x 1080,Intel Core i3-8145U,4GB,,256GB,,2 cell,1.5,0,19070191,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a412fa-ek377t-i3-8145u-bac-s19070191.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop Lenovo Ideapad S145-15IWL (81MV00F1VN) (15"" FHD/Celeron 4205U/4GB/500GB HDD/UHD 620/Free DOS/1.9 kg)",1920 x 1080,Intel Celeron 4205U,4GB,,,500GB,2 cell,1.9,0,190800714,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-ideapad-s14515iwl81mv00f1vn-celeron-4205u-xam-s190800714.html,hoc-tap-van-phong,Intel Celeron 4205U,4205U
"Laptop Dell Inspiron 3580-70194511 (15"" FHD/i5-8265U/4GB/1TB HDD/Radeon 520/Win10/2.3 kg)",1920 x 1080,Intel Core i5-8265U,4GB,AMD Radeon 520,,1TB,3 cell,2.3,0,190900010,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-inspiron-15-3580-358070194511-i58265u-bac-s190900010.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop Dell Inspiron 3580-70194513 (15"" FHD/i7-8565U/8GB/2TB HDD/Radeon 520/Win10/2.3 kg)",1920 x 1080,Intel Core i7-8565U,8GB,AMD Radeon 520,,2TB,3 cell,2.3,0,190900011,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-inspiron-15-3580-358070194513-i78565u-den-s190900011.html,hoc-tap-van-phong,Intel Core i7,8565U
"Laptop ASUS VivoBook 15 A512FA-EJ1170T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",1920 x 1080,Intel Core i3-8145U,4GB,,512GB,,2 cell,1.7,0,190900030,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a512faej1170t-i38145u-bac-s190900030.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS VivoBook 15 A512FA-EJ837T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",1920 x 1080,Intel Core i3-8145U,4GB,,512GB,,2 cell,1.7,0,190900031,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a512faej837t-i38145u-xanh-s190900031.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS VivoBook 15 A512FA-EJ1171T (15"" FHD/i3-8145U/4GB/512GB SSD/UHD 620/Win10/1.7 kg)",1920 x 1080,Intel Core i3-8145U,4GB,,512GB,,2 cell,1.7,0,190900032,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a512faej1171t-i38145u-cam-s190900032.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS 14 X409UA-EK092T (14"" FHD/i3-7020U/4GB/1TB HDD/HD 620/Win10/1.6 kg)",1920 x 1080,Intel Core i3-7020U,4GB,,,1TB,2 cell,1.6,0,190900033,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x409uaek092t-i37020u-bac-s190900033.html,hoc-tap-van-phong,Intel Core i3,7020U
"Laptop ASUS 14 X409UA-EK093T (14"" FHD/i3-7020U/4GB/1TB HDD/HD 620/Win10/1.6 kg)",1920 x 1080,Intel Core i3-7020U,4GB,,,1TB,2 cell,1.6,0,190900034,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x409uaek093t-i37020u-xam-s190900034.html,hoc-tap-van-phong,Intel Core i3,7020U
"Laptop HP Pavilion X360 14-dh0104TU (6ZF32PA) (14"" FHD/i5-8265U/4GB/1TB HDD/UHD 620/Win10/1.6 kg)",1920 x 1080,Intel Core i5-8265U,4GB,,,1TB,3 cell,1.6,0,190900294,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-x360-14dh0104tu-6zf32pa-i58265u-vang-s190900294.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop ASUS VivoBook S13 S330FA-EY115T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",1920 x 1080,Intel Core i3-8145U,8GB,,512GB,,3 cell,1.2,0,190900649,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-s330faey115t-i38145u-hong-s190900649.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS VivoBook S13 S330FA-EY113T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",1920 x 1080,Intel Core i3-8145U,8GB,,512GB,,3 cell,1.2,0,190900650,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-s330faey113t-i38145u-vang-s190900650.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS VivoBook S13 S330FA-EY114T (13"" FHD/i3-8145U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",1920 x 1080,Intel Core i3-8145U,8GB,,512GB,,3 cell,1.2,0,190900651,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-s330faey114t-i38145u-bac-s190900651.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop HP Pavilion 15-cs2032TU (6YZ04PA) (15"" FHD/i3-8145U/4GB/1TB HDD/UHD 620/Win10/1.8 kg)",1920 x 1080,Intel Core i3-8145U,4GB,,,1TB,3 cell,1.8,0,190900652,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15cs2032tu-6yz04pa-i38145u-xam-s190900652.html,hoc-tap-van-phong,Intel Core i3,8145U
"Laptop ASUS VivoBook 15 A512FL-EJ165T (15"" FHD/i7-8565U/8GB/1TB HDD/MX250/Win10/1.7 kg)",1920 x 1080,Intel Core i7-8565U,8GB,NVIDIA GeForce MX250,,1TB,2 cell,1.7,0,190904101,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-a512flej165t-i78565u-bac-s190904101.html,hoc-tap-van-phong,Intel Core i7,8565U
"Laptop ASUS 15 X509FJ-EJ155T (15"" FHD/i5-8265U/4GB/512GB SSD/MX230/Win10/1.7 kg)",1920 x 1080,Intel Core i5-8265U,4GB,NVIDIA GeForce MX230,512GB,,2 cell,1.7,0,190904102,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x509fjej155t-i58265u-bac-s190904102.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop ASUS 15 X509FJ-EJ153T (15"" FHD/i5-8265U/4GB/1TB HDD/MX230/Win10/1.8 kg)",1920 x 1080,Intel Core i5-8265U,4GB,NVIDIA GeForce MX230,,1TB,2 cell,1.8,0,190904103,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x509fjej153t-i58265u-bac-s190904103.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop ASUS VivoBook S15 S531FL-BQ190T (15"" FHD/i5-8265U/8GB/512GB SSD/MX250/Win10/1.7 kg)",1920 x 1080,Intel Core i5-8265U,8GB,NVIDIA GeForce MX250,512GB,,3 cell,1.7,0,190904104,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-s531flbq190t-i58265u-bac-s190904104.html,hoc-tap-van-phong,Intel Core i5,8265U
"Laptop Acer Aspire 3 A315-54K-32SD (NX.HFXSV.001) (15"" FHD/i3-7020U/4GB/256GB SSD/HD 620/Win10/1.7 kg)",1920 x 1080,Intel Core i3-7020U,4GB,,256GB,,2 cell,1.7,0,191000364,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a31554k32sd-nxhfxsv001-i37020u-do-s191000364.html,hoc-tap-van-phong,Intel Core i3,7020U
