battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,hoc-tap-van-phong,Core i5-8265U,8145U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS A412FA-EK153T BẠC,,,0,1.5 kg
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 620,,,Laptop Asus Vivobook A512FA-EJ099T,,,0,1.7 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP ENVY 13-AQ0026TU (6ZF38PA),,,1,1.18 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,AMD Radeon 520,,,Laptop Dell Inspiron 3580 (70194511),,,0,2.19 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop Dell Vostro 5581 (70194501),,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i5,8265U,512 GB,Intel UHD Graphics 620,,,Laptop Asus S531FA (BQ105T),,,1,1.8 kg
,hoc-tap-van-phong,Intel Core i5,8265U,512 GB,NVIDIA GeForce MX250,,,Laptop Asus S531FL (BQ190T),,,1,1.8 kg
,hoc-tap-van-phong,Core i5,8265U,512GB,Intel UHD Graphics 620,,,Laptop Asus A412F-EK224T,,,1,1.4 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel® HD Graphics 620,,,Laptop Dell Inspiron N3567,,,0,
,hoc-tap-van-phong,AMD Ryzen™ 7,2700U,256GB PCie,,,,Laptop HP ProBook 455 G6 6XA63PA,,,1,2.0 kg
,hoc-tap-van-phong,AMD Quad Core,R5-3500U,256 GB,NVIDIA GeForce GTX 1050,,,Laptop Asus D570DD-E4028T,,,1,
,hoc-tap-van-phong,Intel Core i5,1035G1,1TB,,,,Laptop Dell Inspiron N3593 (P75F013N93B),,,0,
,hoc-tap-van-phong,Intel Core i5,10210U,1TB,AMD 610 GDDR5,,,Laptop Dell Vostro V3590A (P75F010N90A),,,0,
,hoc-tap-van-phong,Core i5,10210U,512 GB,,,,Laptop HP 15S-DU1037TX (8RK37PA),,,1,1.74 kg
,hoc-tap-van-phong,Intel Core i7,10510U,512 GB,,,,Laptop HP 15S-DU1040TX (8RE77PA),,,1,1.74 kg
,hoc-tap-van-phong,Intel Core i3,7020U,,Intel HD Graphics 620,,,Laptop HP 240 G7 (9FM95PA),,,0,
,hoc-tap-van-phong,Core i5,8265U,512 GB,Intel UHD Graphics 620,,,Laptop Asus X409FA-EK201T,,,1,1.5 kg
,hoc-tap-van-phong,,,1TB,,,,Laptop Asus X409UA-EK092T,,,0,1.6 kg
,hoc-tap-van-phong,Core i5,8265U,512GB,Intel UHD Graphics 620,,,Laptop Asus S531FA-BQ154T,,,1,1.75 kg
,hoc-tap-van-phong,Intel Core i3,1005G1,1TB,,,,Laptop Dell Inspiron N3593 (P75F013N93A),,,0,
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,,,,LAPTOP ASUS S530FA-BQ185T,,,0,1.78 kg
,hoc-tap-van-phong,Intel Core i3,8145U,500 GB,Intel UHD Graphics 620,,,LAPTOP HP PROBOOK 440 G6 (5YM63PA),,,0,1.6 kg
,hoc-tap-van-phong,AMD Ryzen™ 5,3500U,256 GB,Vega 8,,,Laptop Acer Swift 3 SF314-41-R8VS R5 (NX.HFDSV.002),,,1,1.5 kg
,hoc-tap-van-phong,Intel Core i7,8565U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP PROBOOK 440 G6 (6FG86PA),,,1,1.6 kg
,hoc-tap-van-phong,Intel Core i3,7200U,1TB,Intel HD Graphics 620,,,LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),,,0,1.91 kg
,hoc-tap-van-phong,Intel Core i5,8350U,256 GB,Intel UHD Graphics 620,,,LAPTOP DELL LATITUDE 5490 (70156591),,,1,1.8 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256 GB,Intel UHD Graphics 620,,,Laptop Asus P1440FA-FA0420T,,,1,1.6 kg
,hoc-tap-van-phong,Intel Core i7,8565U,1TB,MX250,,,LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,,,0,1.85 kg
,hoc-tap-van-phong,Intel Core i7,8550U,1TB,NVIDIA GeForce MX150,,,LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,,,0,1.79 kg
,hoc-tap-van-phong,Intel Core i5,Quad-core,256 GB,Intel Iris Plus Graphics 655,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256 GB,Intel UHD Graphics 620,,,Laptop Asus P1440FA-FA0420T,,,1,1.6 kg
,hoc-tap-van-phong,Intel Core i7,8565U,1TB,MX250,,,LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,,,0,1.85 kg
,hoc-tap-van-phong,Intel Core i5,8300H,1TB,NVIDIA GeForce® GTX 1050,,,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),,,0,2.4 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,NVIDIA GeForce MX130,,,LAPTOP DELL INSPIRON 5584 - N5I5413W-BẠC,,,1,1.95 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256 GB,Intel UHD Graphics 620,,,LAPTOP ASUS VIVOBOOK A512FA-EJ571T,,,1,1.7 kg
,hoc-tap-van-phong,Intel Core i5,Dual‑core 8th‑gen,128 GB,Intel UHD Graphics 617,,,MACBOOK AIR 13.3 INCH 2019 128GB GOLD (MVFM2SA/A),,,1,1.25 kg
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 605,,,LAPTOP ACER ASPIRE A515-53-3153,,,0,2.0 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,Intel HD Graphics 620,,,LAPTOP ACER SWIFT 3 SF315-52-52Z7- NX.GZBSV.004,,,0,1.6 kg
,hoc-tap-van-phong,Intel Pentium,N5000,64 GB,Intel UHD Graphics 605,,,LAPTOP ACER SWIFT SF114-32-P2SG NX.GZISV.001,,,0,1.4 kg
,hoc-tap-van-phong,Intel Core i3,8145U,512GB,Intel UHD Graphics 620,,,Laptop Asus A412F-EK223T,,,1,
,hoc-tap-van-phong,Intel Core i5,Quad-core,256 GB,Intel Iris Plus Graphics 655,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,Intel® UHD Graphics 620,,,LAPTOP ASUS VIVO BOOK S530UA-BQ278T,,,0,1.44 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS X407UA - BV309T,,,0,1.45 kg
,hoc-tap-van-phong,Intel Core i3,8130U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS A510UA-EJ1217T,,,0,1.78 kg
,hoc-tap-van-phong,Intel Core i7,8565U,256 GB,Intel HD Graphics 620,,,LAPTOP LENOVO THINKPAD E490S 20NGS01N00,,,1,2.82 kg
,hoc-tap-van-phong,Intel Core i5,8250U,,Intel UHD Graphics,,,LAPTOP ASUS S510UA-BQ1249T,,,0,1.78 kg
,hoc-tap-van-phong,Intel Core i5,8265U,512 GB,NVIDIA GeForce MX150,,,Laptop Asus S330FN (EY037T),,,1,1.2 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,AMD Radeon 530 2GB GDDR5,,,LAPTOP DELL INSPIRON 15 5570 (M5I5238),,,0,2.3 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256GB,Intel UHD Graphics 620,,,Laptop Asus S430FA-EB459T,,,1,1.54 kg
,hoc-tap-van-phong,Intel Core i5,Dual Core,128 GB,Intel Iris Plus Graphics 640,,,MACBOOK PRO 13 INCH 128GB 2017 (MPXQ2SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX230,,,LAPTOP ASUS X509FJ- EJ053T,,,0,1.8 kg
,hoc-tap-van-phong,Intel Core i7,8565U,2TB,AMD Radeon 520,,,LAPTOP DELL INSPIRON 3580 (70188451),,,0,2.19 kg
,hoc-tap-van-phong,Intel Core i3,8130U,1TB,Intel UHD Graphics 620,,,Laptop Asus S530UA BQ034T,,,0,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX130,,,LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,,,0,1.95 kg
,hoc-tap-van-phong,Intel Core i3,8130U,1TB,Intel UHD Graphics 620,,,Laptop Asus S530UA BQ034T,,,0,1.6 kg
,hoc-tap-van-phong,Core i5,1035G1,256GB,NVIDIA,,,Laptop Dell Inspiron 15 5000 5593 N5I5513W,,,1,
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel HD Graphics 620,,,LAPTOP LENOVO THINKPAD L390 20NRS00100,,,1,1.46 kg
,hoc-tap-van-phong,Intel Core i5,8250U,256 GB,Intel UHD Graphics 620,,,LAPTOP DELL VOSTRO 13 5370 (7M6D51),,,1,1.4 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256 GB,,,,Laptop Dell Latitude 3400 (70188730),,,1,
,hoc-tap-van-phong,Intel Core i3,8130U,1TB,Intel HD Graphics 620,,,MÁY TÍNH XÁCH TAY ASUS S510UA - BQ222T,,,1,1.7 kg
,hoc-tap-van-phong,Core i5,Quad-core,512GB,Intel Iris Plus Graphics 655,,,Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i5,8250U,256 GB,Intel UHD Graphics,,,LAPTOP ACER SWIFT 3 SF314-54-58KB NX.GXZSV.002,,,1,1.5 kg
,hoc-tap-van-phong,Intel Core i3,8145U,256 GB,Intel UHD Graphics 620,,,Laptop Acer Swift 3 SF314-56-38UE,,,1,1.5 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,NVIDIA GeForce MX150,,,LAPTOP ASUS VIVOBOOK S410UN-EB210T,,,0,1.4 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP PROBOOK 440 G6 (5YM61PA),,,1,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel HD Graphics 620,,,LAPTOP ACER SWIFT 5 SF514-53T-58PN (NX.H7HSV.001) XANH,,,1,0.97 kg
,hoc-tap-van-phong,Core i5,9300H,256GB,VGA NVIDIA,,,Laptop Dell Inspiron 7591-N5I5591W,,,1,
,hoc-tap-van-phong,Intel Core i3,8130U,1TB,Intel HD Graphics 620,,,LAPTOP DELL INSPIRON 14 3476 (8J61P1),,,0,1.97 kg
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 620,,,LAPTOP ACER ASPIRE A515-53-30QH (NX.H6BSV.003),,,0,2.072 kg
,hoc-tap-van-phong,Intel Core i3,7020U,500 GB,Intel HD Graphics 620,,,LAPTOP HP 15-DA0050TU (4ME67PA),,,0,1.77 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel HD Graphics 520,,,Laptop Asus X509UA-EJ116T,,,0,1.9 kg
,hoc-tap-van-phong,AMD Ryzen™ 5,3500U,512GB,AMD Radeon™ Vega 8 Graphics,,,Laptop Asus A512DA-EJ406T,,,1,1.7 kg
,hoc-tap-van-phong,Core i5,9300H,512GB,NVIDIA,,,Laptop Dell G3 15 3590 - N5I5518W,,,1,
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel HD Graphics 620,,,LAPTOP LENOVO THINKPAD E490S 20NGS01K00,,,1,2.82 kg
,hoc-tap-van-phong,Intel Core i7,8565U,256 GB,Intel HD Graphics 620,,,LAPTOP LENOVO THINKPAD L390 20NRS00500,,,1,1.46 kg
,hoc-tap-van-phong,Intel Core i5,Quad‑core 8th‑gen,256 GB,Intel Iris Plus Graphics 645,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GRAY (MUHP2SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i5,Quad‑core 8th‑gen,256 GB,Intel Iris Plus Graphics 645,,,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MUHR2SA/A),,,1,1.37 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,,,0,1.66 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel HD Graphics 520,,,Laptop Asus X509UA-EJ116T,,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i3,7020U,500 GB,Intel HD Graphics 620,,,LAPTOP HP 15-DA0050TU (4ME67PA),,,0,1.77 kg
,hoc-tap-van-phong,AMD Ryzen™ 5,3500U,512GB,AMD Radeon™ Vega 8 Graphics,,,Laptop Asus A512DA-EJ406T,,,1,1.7 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel HD Graphics 620,,,LAPTOP LENOVO THINKPAD E490S 20NGS01K00,,,1,2.82 kg
,hoc-tap-van-phong,Core i5,9300H,512GB,NVIDIA,,,Laptop Dell G3 15 3590 - N5I5518W,,,1,
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,NVIDIA GeForce MX110,,,LAPTOP ASUS X407U - BV145T,,,0,1.52 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel® UHD Graphics 620,,,LAPTOP DELL N3567 P63F002N67S,,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i3,7020U,1TB,Intel HD Graphics 620,,,LAPTOP DELL VOSTRO 3468 (70161069),,,0,1.76 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,LAPTOP HP 15-DA1022TU (5NK80PA),,,0,1.77 kg
,hoc-tap-van-phong,Intel Core i5,10210U,512 GB,Intel UHD Graphics 620,,,Laptop Acer A515-54-54EU (NX.HN3SV.002),,,1,1.7 kg
,hoc-tap-van-phong,,,256 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3015TU (8QP15PA),,,1,"1,698 kg"
,hoc-tap-van-phong,Intel Core i5,1035G1,,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3011TU (8QN96PA),,,0,"1,706 kg"
,hoc-tap-van-phong,Core i5,10210U,512 GB,Intel UHD Graphics 620,,,Laptop Asus UX434FAC-A6116T,,,1,1.26 kg
,hoc-tap-van-phong,Core i5,10210U,512 GB,NVIDIA GeForce MX250,,,Laptop Asus UX434FLC-A6212T,,,1,1.26 kg
,hoc-tap-van-phong,,,512 GB,NVIDIA GeForce MX250,,,Laptop HP Pavilion 15-CS3063TX (8RK42PA),,,1,"1,766 kg"
,hoc-tap-van-phong,Intel Core i5,8250U,256 GB,Intel® UHD Graphics 620,,,Laptop MSI PS42 8M-288VN,,,1,1.18 kg
,hoc-tap-van-phong,Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop Dell Inspiron 15 5584-CXGR01,,,0,2 kg
,hoc-tap-van-phong,Intel Core i7,8550U,256 GB,Intel UHD Graphics 620,,,LAPTOP ASUS S430UA-EB097T,,,1,1.40 kg
,hoc-tap-van-phong,Core i5,10210U,512 GB,NVIDIA GeForce GTX 1650,,,Laptop Asus UX534FTC-A9168T,,,1,1.55 kg
,hoc-tap-van-phong,Intel Core i5,1035G1,256 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3119TX (9FN16PA),,,1,"1,746 kg"
,hoc-tap-van-phong,Intel Core i5,1035G1,512 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3060TX (8RJ61PA),,,1,"1,761 kg"
,hoc-tap-van-phong,Core i5,1035G1,512GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5461W,,,1,
,hoc-tap-van-phong,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Intel Core,i9,1 TB,,,,Macbook Pro 16.0 inch 1TB Gray (MVVK2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Intel Core,i9,1 TB,,,,Macbook Pro 16.0 inch 1TB Silver (MVVM2SA/A),,,1,2.0 kg
4 cell,gaming,Intel Core i7,9750H,,NVIDIA GeForce RTX 2060,190800596.0,1.0,"Laptop ASUS ROG Strix Scar III G531GV-VAZ160T (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.6 kg)",16GB,1920 x 1080,512GB,2.6
4 cell,gaming,Intel Core i7,9750H,,NVIDIA GeForce GTX 1660Ti,190800597.0,1.0,"Laptop ASUS ROG Zephyrus M GU502GU-AZ090T (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2 kg)",16GB,1920 x 1080,512GB,2.0
3 cell,gaming,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1660Ti,190900035.0,0.0,"Laptop HP Pavilion Gaming 15-dk0003TX (7HR34PA) (15"" FHD/i7-9750H/16GB/512GB SSD/1TB HDD/GTX 1660Ti/Win10/2.2 kg)",16GB,1920 x 1080,512GB,2.2
3 cell,gaming,Intel Core i7,9750H,,NVIDIA GeForce GTX 1650,190900036.0,0.0,"Laptop HP Pavilion Gaming 15-dk0233TX (8DS86PA) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.2 kg)",8GB,1920 x 1080,512GB,2.2
3 cell,gaming,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1650,190900037.0,0.0,"Laptop HP Pavilion Gaming 15-dk0232TX (8DS85PA) (15"" FHD/i7-9750H/8GB/1TB HDD/GTX 1650/Win10/2.2 kg)",8GB,1920 x 1080,,2.2
3 cell,gaming,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1650,190900293.0,0.0,"Laptop Lenovo Legion Y540-17IRH (81T3001HVN) (17"" FHD/i7-9750H/8GB/128GB SSD/1TB HDD/GTX 1650/FreeDOS/2.9 kg)",8GB,1920 x 1080,128GB,2.9
3 cell,gaming,Intel Core i7,9750H,,NVIDIA GeForce RTX 2060,190904126.0,0.0,"Laptop Lenovo Legion Y740-15IRHG (81UH003JVN) (15"" FHD/i7-9750H/16GB/1TB SSD/RTX 2060/Win10/2.2 kg)",16GB,1920 x 1080,1TB,2.2
4 cell,gaming,Intel Core i5,8300H,,NVIDIA GeForce GTX 1050,190904130.0,0.0,"Laptop Acer Nitro 5 AN515-52-53PC (NH.Q3MSV.00B) (15"" FHD/i5-8300H/8GB/512GB SSD/GTX 1050/Win10/2.5 kg)",8GB,1920 x 1080,512GB,2.5
6 cell,gaming,Intel Core i7 ,9750H,,NVIDIA GeForce RTX 2060,191000800.0,1.0,"Laptop MSI GL65 9SEK-047VN (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.3kg)",16GB,1920 x 1080,512GB,2.3
3 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1650,191001275.0,0.0,"Laptop Dell G3 15 3590-N5I5518W (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.3kg)",8GB,1920 x 1080,512GB,2.3
3 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1050,191001276.0,0.0,"Laptop Dell G3 15 3590-N5I5517W (15"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3kg)",8GB,1920 x 1080,256GB,2.3
3 cell,gaming,Intel Core i5 ,9300H,1TB,NVIDIA GeForce GTX 1050,191006820.0,0.0,"Laptop Lenovo Legion Y7000-81V4000AVN (15"" FHD/i5-9300H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",8GB,1920 x 1080,256GB,2.3
3 cell,gaming,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1050,191006821.0,0.0,"Laptop Lenovo Legion Y7000-15IRH (81V4000BVN) (15"" FHD/i7-9750H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",8GB,1920 x 1080,256GB,2.3
4 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1660Ti,191007067.0,1.0,"Laptop MSI GS65 Stealth 9SD-1409VN (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1660Ti/Win10/1.9 kg)",8GB,1920 x 1080,512GB,1.9
3 cell,gaming,Intel Core i7 ,9750H,,NVIDIA GeForce GTX 1050Ti,191007068.0,1.0,"Laptop MSI Thin GF75 9RCX-430VN (17"" FHD/i7-9750H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",8GB,1920 x 1080,256GB,2.2
4 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1050,191007073.0,0.0,"Laptop Acer Nitro 5 AN515-54-58TJ (NH.Q5ASV.015) (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1050/Win10/2.3 kg)",8GB,1920 x 1080,512GB,2.3
4 cell,gaming,Intel Core i7 ,9750H,,NVIDIA GeForce GTX 1660Ti,191007074.0,0.0,"Laptop Acer Nitro 7 AN715-51-71F8 (NH.Q5HSV.004) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",8GB,1920 x 1080,512GB,2.3
3 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1650,191007075.0,1.0,"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",8GB,1920 x 1080,512GB,2.4
6 cell,gaming,Intel Core i7,9750H,,NVIDIA GeForce GTX 1660Ti,191100021.0,0.0,"Laptop MSI GP65 Leopard 9SD-224VN (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",16GB,1920 x 1080,512GB,2.3
3 cell,gaming,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1050Ti,191100022.0,0.0,"Laptop MSI Thin GF75 9RCX-432VN (17"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",8GB,1920 x 1080,256GB,2.2
4 cell,do-hoa,Intel Core i7,9750H,,NVIDIA GeForce RTX 2060,190800596.0,1.0,"Laptop ASUS ROG Strix Scar III G531GV-VAZ160T (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.6 kg)",16GB,1920 x 1080,512GB,2.6
4 cell,do-hoa,Intel Core i7,9750H,,NVIDIA GeForce GTX 1660Ti,190800597.0,1.0,"Laptop ASUS ROG Zephyrus M GU502GU-AZ090T (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2 kg)",16GB,1920 x 1080,512GB,2.0
,do-hoa,Intel Core i9,,,AMD Radeon Pro 560X,190900029.0,1.0,"Laptop Apple MacBook Pro 2019 MV932 (15"" 2880x1800/Core i9/16GB/512GB SSD/Radeon Pro 560X/macOS/1.8 kg)",16GB,2880 x 1800,512GB,1.8
3 cell,do-hoa,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1660Ti,190900035.0,0.0,"Laptop HP Pavilion Gaming 15-dk0003TX (7HR34PA) (15"" FHD/i7-9750H/16GB/512GB SSD/1TB HDD/GTX 1660Ti/Win10/2.2 kg)",16GB,1920 x 1080,512GB,2.2
3 cell,do-hoa,Intel Core i7,9750H,,NVIDIA GeForce GTX 1650,190900036.0,0.0,"Laptop HP Pavilion Gaming 15-dk0233TX (8DS86PA) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.2 kg)",8GB,1920 x 1080,512GB,2.2
3 cell,do-hoa,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1650,190900037.0,0.0,"Laptop HP Pavilion Gaming 15-dk0232TX (8DS85PA) (15"" FHD/i7-9750H/8GB/1TB HDD/GTX 1650/Win10/2.2 kg)",8GB,1920 x 1080,,2.2
3 cell,do-hoa,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1650,190900293.0,0.0,"Laptop Lenovo Legion Y540-17IRH (81T3001HVN) (17"" FHD/i7-9750H/8GB/128GB SSD/1TB HDD/GTX 1650/FreeDOS/2.9 kg)",8GB,1920 x 1080,128GB,2.9
4 cell,do-hoa,Intel Core i7,9850H,,NVIDIA Quadro T2000,190904120.0,0.0,"Laptop HP ZBook 15 G6 (6CJ09AV) (15"" FHD/i7-9850H/16GB/256GB SSD/Quadro T2000/Free DOS/2.6 kg)",16GB,1920 x 1080,256GB,2.6
4 cell,do-hoa,Intel Core i5,8300H,,NVIDIA GeForce GTX 1050,190904130.0,0.0,"Laptop Acer Nitro 5 AN515-52-53PC (NH.Q3MSV.00B) (15"" FHD/i5-8300H/8GB/512GB SSD/GTX 1050/Win10/2.5 kg)",8GB,1920 x 1080,512GB,2.5
6 cell,do-hoa,Intel Core i7 ,9750H,,NVIDIA GeForce RTX 2060,191000800.0,1.0,"Laptop MSI GL65 9SEK-047VN (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.3kg)",16GB,1920 x 1080,512GB,2.3
3 cell,do-hoa,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1650,191001275.0,0.0,"Laptop Dell G3 15 3590-N5I5518W (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.3kg)",8GB,1920 x 1080,512GB,2.3
3 cell,do-hoa,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1050,191001276.0,0.0,"Laptop Dell G3 15 3590-N5I5517W (15"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3kg)",8GB,1920 x 1080,256GB,2.3
3 cell,do-hoa,Intel Core i5 ,9300H,1TB,NVIDIA GeForce GTX 1050,191006820.0,0.0,"Laptop Lenovo Legion Y7000-81V4000AVN (15"" FHD/i5-9300H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",8GB,1920 x 1080,256GB,2.3
3 cell,do-hoa,Intel Core i7,9750H,1TB,NVIDIA GeForce GTX 1050,191006821.0,0.0,"Laptop Lenovo Legion Y7000-15IRH (81V4000BVN) (15"" FHD/i7-9750H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",8GB,1920 x 1080,256GB,2.3
4 cell,do-hoa,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1660Ti,191007067.0,1.0,"Laptop MSI GS65 Stealth 9SD-1409VN (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1660Ti/Win10/1.9 kg)",8GB,1920 x 1080,512GB,1.9
3 cell,do-hoa,Intel Core i7 ,9750H,,NVIDIA GeForce GTX 1050Ti,191007068.0,1.0,"Laptop MSI Thin GF75 9RCX-430VN (17"" FHD/i7-9750H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",8GB,1920 x 1080,256GB,2.2
4 cell,do-hoa,Intel Core i5 ,9300H,,NVIDIA GeForce GTX 1050,191007073.0,0.0,"Laptop Acer Nitro 5 AN515-54-58TJ (NH.Q5ASV.015) (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1050/Win10/2.3 kg)",8GB,1920 x 1080,512GB,2.3
